,imp_source(CtrSVDD),imp_within(WildT02),corr_feat_vs_sourceScoreOnWild,family
mfcc_10_std,0.048,0.02,-0.392,MFCC
mfcc_11_std,0.045,0.019,-0.51,MFCC
mfcc_13_std,0.041,0.014,-0.548,MFCC
mfcc_7_std,0.032,0.012,-0.359,MFCC
mfcc_9_mean,0.031,0.02,-0.104,MFCC
mfcc_7_mean,0.03,0.016,-0.062,MFCC
mfcc_9_std,0.03,0.026,-0.353,MFCC
spectral_flatness_mean,0.029,0.021,0.037,lowlevel
mfcc_12_std,0.029,0.022,-0.404,MFCC
mfcc_8_std,0.027,0.016,-0.412,MFCC
spectral_flatness_std,0.027,0.012,-0.089,lowlevel
mfcc_12_mean,0.025,0.015,-0.005,MFCC
mfcc_3_mean,0.023,0.014,0.096,MFCC
mfcc_5_mean,0.022,0.016,0.114,MFCC
mfcc_1_mean,0.022,0.018,-0.013,MFCC
mfcc_10_mean,0.022,0.025,-0.003,MFCC
mfcc_6_mean,0.021,0.012,-0.088,MFCC
mfcc_11_mean,0.021,0.015,0.133,MFCC
mfcc_8_mean,0.02,0.018,0.087,MFCC
hnr_mean,0.02,0.037,-0.155,HNR
hnr_std,0.019,0.082,-0.138,HNR
mfcc_2_std,0.019,0.026,-0.2,MFCC
mfcc_5_std,0.019,0.028,-0.365,MFCC
mfcc_2_mean,0.019,0.075,-0.083,MFCC
f0_mean,0.018,0.014,0.035,pitch
mfcc_13_mean,0.018,0.031,0.134,MFCC
f0_jitter,0.018,0.009,-0.136,pitch
energy_dynamic,0.018,0.05,-0.038,lowlevel
mfcc_4_mean,0.017,0.042,-0.003,MFCC
vibrato_rate_mean,0.016,0.022,-0.117,VRI
f0_min,0.016,0.016,0.062,pitch
mfcc_6_std,0.016,0.017,-0.269,MFCC
mfcc_1_std,0.016,0.013,-0.036,MFCC
hnr_low_ratio,0.015,0.028,0.108,HNR
f0_max,0.015,0.014,0.013,pitch
f0_std,0.015,0.014,-0.145,pitch
mfcc_4_std,0.015,0.011,-0.278,MFCC
mfcc_3_std,0.015,0.021,-0.169,MFCC
rms_std,0.015,0.013,0.054,lowlevel
vibrato_rate_std,0.015,0.027,0.05,VRI
rms_mean,0.015,0.014,-0.08,lowlevel
long_note_stability,0.014,0.008,0.235,stability
periodicity_score,0.014,0.013,0.18,VRI
vibrato_depth_mean,0.013,0.01,-0.168,VRI
vri_score,0.012,0.012,0.201,VRI
vibrato_depth_std,0.012,0.01,-0.204,VRI
micro_variation,0.012,0.008,-0.2,VRI
f0_range_semitones,0.01,0.006,-0.214,pitch
