dataset,label,rolloff85,centroid
CtrSVDD,fake,2370.3,1303.5
CtrSVDD,fake,3667.6,2058.5
CtrSVDD,fake,3063.1,1595.4
CtrSVDD,fake,3240.9,1712.2
CtrSVDD,fake,4209.7,2267.3
CtrSVDD,fake,3209.2,1757.4
CtrSVDD,fake,3091.0,1728.3
CtrSVDD,fake,3033.2,1657.1
CtrSVDD,fake,3332.1,1860.0
CtrSVDD,fake,3257.3,1488.0
CtrSVDD,fake,2492.6,1397.7
CtrSVDD,fake,4227.5,2417.9
CtrSVDD,fake,2538.6,1345.1
CtrSVDD,fake,3750.6,1904.1
CtrSVDD,fake,4039.0,2296.5
CtrSVDD,fake,3939.4,2266.5
CtrSVDD,fake,3282.7,1704.4
CtrSVDD,fake,4119.8,2052.0
CtrSVDD,fake,2747.8,1511.6
CtrSVDD,fake,3528.2,1557.0
CtrSVDD,fake,3887.6,1852.4
CtrSVDD,fake,3959.2,2173.7
CtrSVDD,fake,4363.9,2209.1
CtrSVDD,fake,4283.2,2220.3
CtrSVDD,fake,3045.9,1559.4
CtrSVDD,fake,3423.7,1778.8
CtrSVDD,fake,4049.9,1839.6
CtrSVDD,fake,3613.6,2018.9
CtrSVDD,fake,4268.1,2405.6
CtrSVDD,fake,2937.2,1654.8
CtrSVDD,fake,2448.6,1593.3
CtrSVDD,fake,3094.1,1692.6
CtrSVDD,fake,4057.2,2020.0
CtrSVDD,fake,2776.9,1589.3
CtrSVDD,fake,4035.6,2184.2
CtrSVDD,fake,3381.2,1877.0
CtrSVDD,fake,3063.6,1640.1
CtrSVDD,fake,3414.3,1713.8
CtrSVDD,fake,3768.1,1936.8
CtrSVDD,fake,2765.2,1601.9
CtrSVDD,fake,3971.5,2271.9
CtrSVDD,fake,3836.1,2115.1
CtrSVDD,fake,4367.7,2291.1
CtrSVDD,fake,3621.4,2118.1
CtrSVDD,fake,3945.8,2158.8
CtrSVDD,fake,2096.8,1414.8
CtrSVDD,fake,3928.2,2247.1
CtrSVDD,fake,3523.7,1725.5
CtrSVDD,fake,3890.1,1956.1
CtrSVDD,fake,3725.4,1928.2
CtrSVDD,fake,3236.0,1610.1
CtrSVDD,fake,3364.7,1827.5
CtrSVDD,fake,3349.9,1897.7
CtrSVDD,fake,3019.8,1640.4
CtrSVDD,fake,3438.5,1760.5
CtrSVDD,fake,3608.6,1818.8
CtrSVDD,fake,4372.5,2469.1
CtrSVDD,fake,3667.1,1905.6
CtrSVDD,fake,4139.9,2158.1
CtrSVDD,fake,3009.5,1485.1
CtrSVDD,fake,3356.0,1937.0
CtrSVDD,fake,1885.1,1060.0
CtrSVDD,fake,3642.5,1947.6
CtrSVDD,fake,2733.6,1653.7
CtrSVDD,fake,3201.1,1635.7
CtrSVDD,fake,4243.4,2379.9
CtrSVDD,fake,3507.3,1822.7
CtrSVDD,fake,2524.0,1461.4
CtrSVDD,fake,3801.2,2297.8
CtrSVDD,fake,2524.5,1387.2
CtrSVDD,fake,2971.6,1531.0
CtrSVDD,fake,4096.3,2213.3
CtrSVDD,fake,4178.2,2248.1
CtrSVDD,fake,3333.3,1665.8
CtrSVDD,fake,3299.1,1796.5
CtrSVDD,fake,3548.9,1887.0
CtrSVDD,fake,3495.5,1869.2
CtrSVDD,fake,3839.0,1819.0
CtrSVDD,fake,3374.5,1904.8
CtrSVDD,fake,3393.4,1712.5
CtrSVDD,fake,3611.3,1945.7
CtrSVDD,fake,4078.2,2258.2
CtrSVDD,fake,3088.9,1617.8
CtrSVDD,fake,2659.2,1347.8
CtrSVDD,fake,2501.9,1405.0
CtrSVDD,fake,3736.4,1983.3
CtrSVDD,fake,4643.5,2611.1
CtrSVDD,fake,3343.3,1697.2
CtrSVDD,fake,4326.8,2317.6
CtrSVDD,fake,2586.8,1334.0
CtrSVDD,fake,4023.7,2272.1
CtrSVDD,fake,3905.2,2182.0
CtrSVDD,fake,2932.9,1389.6
CtrSVDD,fake,4803.0,2494.4
CtrSVDD,fake,3585.8,1813.7
CtrSVDD,fake,2624.7,1473.9
CtrSVDD,fake,3954.9,2232.6
CtrSVDD,fake,3902.7,2044.8
CtrSVDD,fake,2454.0,1267.8
CtrSVDD,fake,2240.7,1220.7
CtrSVDD,fake,2985.7,1546.5
CtrSVDD,fake,3432.1,1699.3
CtrSVDD,fake,3553.4,2029.3
CtrSVDD,fake,3520.0,1848.0
CtrSVDD,fake,2766.6,1458.8
CtrSVDD,fake,3111.0,1727.1
CtrSVDD,fake,2130.1,1258.9
CtrSVDD,fake,3215.1,1691.1
CtrSVDD,fake,3434.2,1977.7
CtrSVDD,fake,3424.9,1873.1
CtrSVDD,fake,3892.7,2044.9
CtrSVDD,fake,2486.9,1316.7
CtrSVDD,fake,3428.2,1628.1
CtrSVDD,fake,2609.2,1530.1
CtrSVDD,fake,4186.9,2182.4
CtrSVDD,fake,4026.7,2242.4
CtrSVDD,fake,3761.0,2077.2
CtrSVDD,fake,3768.3,2077.3
CtrSVDD,fake,2171.2,1280.7
CtrSVDD,fake,4325.2,2375.4
CtrSVDD,fake,3638.0,1970.5
CtrSVDD,fake,4184.5,2157.0
CtrSVDD,fake,3894.8,1968.6
CtrSVDD,fake,4177.1,1927.0
CtrSVDD,fake,4140.6,2438.6
CtrSVDD,fake,2846.5,1602.0
CtrSVDD,fake,3460.0,1848.6
CtrSVDD,fake,2589.4,1538.7
CtrSVDD,fake,3743.8,1939.3
CtrSVDD,fake,3588.1,2101.6
CtrSVDD,fake,3775.9,2205.8
CtrSVDD,fake,2562.3,1541.5
CtrSVDD,fake,1932.7,1180.6
CtrSVDD,fake,2940.7,1632.8
CtrSVDD,fake,3460.1,1796.8
CtrSVDD,fake,3327.3,1927.8
CtrSVDD,fake,2970.8,1609.3
CtrSVDD,fake,3791.8,2093.4
CtrSVDD,fake,4060.0,2343.8
CtrSVDD,fake,3958.4,2230.4
CtrSVDD,fake,3862.2,2040.0
CtrSVDD,fake,3140.1,1862.3
CtrSVDD,fake,4202.9,2200.2
CtrSVDD,fake,3448.7,1435.1
CtrSVDD,fake,4917.9,2671.5
CtrSVDD,fake,2471.6,1472.7
CtrSVDD,fake,4277.5,2300.3
CtrSVDD,fake,3233.3,1742.5
CtrSVDD,fake,3250.3,1661.1
CtrSVDD,fake,3460.6,1654.3
CtrSVDD,fake,3579.9,1946.7
CtrSVDD,fake,3905.4,2167.7
CtrSVDD,fake,4076.4,2099.6
CtrSVDD,fake,3637.5,1798.0
CtrSVDD,fake,2780.1,1568.8
CtrSVDD,fake,3835.7,2190.1
CtrSVDD,fake,3389.9,2004.9
CtrSVDD,fake,4230.8,2500.7
CtrSVDD,fake,3768.4,2252.9
CtrSVDD,fake,2128.8,1253.9
CtrSVDD,fake,3657.0,2087.2
CtrSVDD,fake,2803.8,1288.1
CtrSVDD,fake,2692.0,1688.0
