feature_set,group,eer
FULL,overall,18.88
FULL,voc:ddsp,26.04
FULL,voc:hifigan,13.67
FULL,voc:nsf-hifigan,20.92
FULL,atk:A01,15.62
FULL,atk:A02,15.67
FULL,atk:A03,26.04
FULL,atk:A04,18.94
FULL,atk:A05,8.06
FULL,atk:A06,25.08
FULL,atk:A07,18.06
FULL,atk:A08,18.06
CLEAN,overall,35.96
CLEAN,voc:ddsp,29.33
CLEAN,voc:hifigan,30.33
CLEAN,voc:nsf-hifigan,41.67
CLEAN,atk:A01,31.0
CLEAN,atk:A02,31.67
CLEAN,atk:A03,29.33
CLEAN,atk:A04,29.35
CLEAN,atk:A05,27.33
CLEAN,atk:A06,47.27
CLEAN,atk:A07,43.98
CLEAN,atk:A08,42.69
HNR,overall,45.17
HNR,voc:ddsp,46.0
HNR,voc:hifigan,44.76
HNR,voc:nsf-hifigan,45.25
HNR,atk:A01,46.0
HNR,atk:A02,42.94
HNR,atk:A03,46.0
HNR,atk:A04,46.62
HNR,atk:A05,44.67
HNR,atk:A06,46.0
HNR,atk:A07,45.58
HNR,atk:A08,41.67
VRI,overall,44.5
VRI,voc:ddsp,38.94
VRI,voc:hifigan,41.12
VRI,voc:nsf-hifigan,48.92
VRI,atk:A01,41.06
VRI,atk:A02,41.33
VRI,atk:A03,38.94
VRI,atk:A04,42.67
VRI,atk:A05,41.06
VRI,atk:A06,50.0
VRI,atk:A07,51.94
VRI,atk:A08,51.33
