target,strategy,k,AUC,std,ntrial
ctrsvdd,random_balanced,6,0.585,0.039,10
ctrsvdd,random_balanced,10,0.581,0.036,10
ctrsvdd,random_balanced,20,0.612,0.061,10
ctrsvdd,random_balanced,30,0.643,0.063,10
ctrsvdd,random_balanced,50,0.644,0.021,10
ctrsvdd,random_balanced,75,0.707,0.035,10
ctrsvdd,random_balanced,100,0.734,0.018,10
ctrsvdd,random_balanced,150,0.759,0.021,10
ctrsvdd,random_balanced,200,0.778,0.018,10
ctrsvdd,uncertainty,6,0.562,0.06,10
ctrsvdd,uncertainty,10,0.605,0.063,10
ctrsvdd,uncertainty,20,0.634,0.047,10
ctrsvdd,uncertainty,30,0.665,0.037,10
ctrsvdd,uncertainty,50,0.688,0.032,10
ctrsvdd,uncertainty,75,0.72,0.023,10
ctrsvdd,uncertainty,100,0.749,0.018,10
ctrsvdd,uncertainty,150,0.768,0.026,10
ctrsvdd,uncertainty,200,0.785,0.014,10
ctrsvdd,kcenter,6,0.562,0.06,10
ctrsvdd,kcenter,10,0.599,0.047,10
ctrsvdd,kcenter,20,0.65,0.037,10
ctrsvdd,kcenter,30,0.646,0.037,10
ctrsvdd,kcenter,50,0.643,0.037,10
ctrsvdd,kcenter,75,0.668,0.027,10
ctrsvdd,kcenter,100,0.691,0.032,10
ctrsvdd,kcenter,150,0.724,0.026,10
ctrsvdd,kcenter,200,0.747,0.029,10
