pair,method,AUC
CtrSVDD->WildT02,baseline,0.509
CtrSVDD->WildT02,perdomain_znorm,0.488
CtrSVDD->WildT02,CORAL,0.474
CtrSVDD->WildT02,subspace_align,0.517
CtrSVDD->WildT02,DANN,0.442
CtrSVDD->WildT02,target_only_ref,0.925
CtrSVDD->SingerLens,baseline,0.615
CtrSVDD->SingerLens,perdomain_znorm,0.618
CtrSVDD->SingerLens,CORAL,0.537
CtrSVDD->SingerLens,subspace_align,0.554
CtrSVDD->SingerLens,DANN,0.555
CtrSVDD->SingerLens,target_only_ref,0.989
SingerLens->CtrSVDD,baseline,0.549
SingerLens->CtrSVDD,perdomain_znorm,0.569
SingerLens->CtrSVDD,CORAL,0.529
SingerLens->CtrSVDD,subspace_align,0.544
SingerLens->CtrSVDD,DANN,0.582
SingerLens->CtrSVDD,target_only_ref,0.898
