protocol,feature_set,method,n,n_real,n_fake,mean_score_real,mean_score_fake,median_score_real,median_score_fake,AUC,flipped_AUC,EER,F1,separation,klass
CtrSVDD->Wild_all,FULL,clip_mean,466,229,237,0.632,0.614,0.647,0.63,0.464,0.536,52.57,0.586,-0.018,random
CtrSVDD->Wild_all,CLEAN,clip_mean,466,229,237,0.666,0.559,0.73,0.577,0.326,0.674,62.45,0.481,-0.107,reversed
CtrSVDD->Wild_all,HNR,clip_mean,466,229,237,0.671,0.58,0.677,0.577,0.377,0.623,59.01,0.49,-0.091,reversed
CtrSVDD->Wild_T02,FULL,clip_mean,387,226,161,0.629,0.629,0.643,0.647,0.503,0.503,49.31,0.525,0.0,random
CtrSVDD->Wild_T02,CLEAN,clip_mean,387,226,161,0.664,0.585,0.728,0.597,0.359,0.641,60.52,0.453,-0.079,reversed
CtrSVDD->Wild_T02,HNR,clip_mean,387,226,161,0.671,0.615,0.677,0.62,0.425,0.575,55.16,0.468,-0.056,reversed
SingerLens->Wild_all,FULL,clip_mean,466,229,237,0.251,0.267,0.25,0.26,0.542,0.542,48.93,0.077,0.017,random
SingerLens->Wild_all,CLEAN,clip_mean,466,229,237,0.399,0.387,0.427,0.37,0.471,0.529,55.15,0.33,-0.012,random
SingerLens->Wild_all,HNR,clip_mean,466,229,237,0.419,0.399,0.41,0.39,0.482,0.518,50.21,0.405,-0.02,random
SingerLens->Wild_T02,FULL,clip_mean,387,226,161,0.246,0.265,0.248,0.257,0.535,0.535,49.53,0.09,0.019,random
SingerLens->Wild_T02,CLEAN,clip_mean,387,226,161,0.401,0.383,0.427,0.37,0.463,0.537,55.52,0.299,-0.018,random
SingerLens->Wild_T02,HNR,clip_mean,387,226,161,0.421,0.415,0.417,0.43,0.499,0.501,49.18,0.391,-0.007,random
CtrSVDD->SingerLens,FULL,clip_mean,1085,552,533,0.626,0.651,0.628,0.65,0.556,0.556,46.28,0.66,0.025,random
CtrSVDD->SingerLens,CLEAN,clip_mean,1085,552,533,0.668,0.676,0.71,0.717,0.52,0.52,49.5,0.624,0.008,random
CtrSVDD->SingerLens,HNR,clip_mean,1085,552,533,0.666,0.691,0.697,0.723,0.54,0.54,47.92,0.606,0.024,random
SingerLens->CtrSVDD,FULL,clip_mean,4661,2396,2265,0.365,0.385,0.337,0.363,0.531,0.531,46.82,0.358,0.02,random
SingerLens->CtrSVDD,CLEAN,clip_mean,4661,2396,2265,0.44,0.459,0.447,0.46,0.538,0.538,48.0,0.445,0.019,random
SingerLens->CtrSVDD,HNR,clip_mean,4661,2396,2265,0.406,0.427,0.35,0.367,0.529,0.529,47.95,0.398,0.022,random
Wild_all_within,FULL,clip_mean,466,229,237,0.356,0.65,0.357,0.64,0.884,0.884,20.82,0.797,0.294,transferable
Wild_all_within,CLEAN,clip_mean,466,229,237,0.398,0.617,0.38,0.647,0.777,0.777,28.76,0.713,0.219,transferable
Wild_all_within,HNR,clip_mean,466,229,237,0.424,0.586,0.383,0.6,0.668,0.668,37.98,0.62,0.162,transferable
Wild_T02_within,FULL,clip_mean,387,226,161,0.306,0.538,0.287,0.517,0.852,0.852,22.24,0.669,0.232,transferable
Wild_T02_within,CLEAN,clip_mean,387,226,161,0.334,0.519,0.305,0.543,0.754,0.754,30.48,0.623,0.185,transferable
Wild_T02_within,HNR,clip_mean,387,226,161,0.345,0.47,0.295,0.403,0.641,0.641,40.98,0.435,0.125,transferable
CtrSVDD_within,FULL,clip_mean,4661,2396,2265,0.345,0.629,0.343,0.633,0.894,0.894,20.15,0.792,0.284,transferable
CtrSVDD_within,CLEAN,clip_mean,4661,2396,2265,0.433,0.537,0.43,0.543,0.695,0.695,35.65,0.626,0.104,transferable
CtrSVDD_within,HNR,clip_mean,4661,2396,2265,0.461,0.511,0.46,0.493,0.567,0.567,46.11,0.501,0.05,random
SingerLens_within,FULL,clip_mean,1085,552,533,0.265,0.735,0.247,0.757,0.984,0.984,6.18,0.937,0.47,transferable
SingerLens_within,CLEAN,clip_mean,1085,552,533,0.412,0.568,0.427,0.58,0.735,0.735,33.37,0.681,0.156,transferable
SingerLens_within,HNR,clip_mean,1085,552,533,0.405,0.581,0.362,0.607,0.693,0.693,35.76,0.646,0.176,transferable
