idx,label
wild_0149,real
wild_0081,real
wild_0085,real
wild_0180,real
wild_0119,real
wild_0121,real
wild_0127,real
wild_0186,real
wild_0111,real
wild_0185,real
wild_0088,real
wild_0148,real
wild_0090,real
wild_0112,real
wild_0144,real
wild_0063,real
wild_0092,real
wild_0037,real
wild_0089,real
wild_0087,real
wild_0118,real
wild_0068,real
wild_0152,real
wild_0142,real
wild_0073,real
wild_0147,real
wild_0189,real
wild_0154,real
wild_0080,real
wild_0190,real
wild_0151,real
wild_0116,real
wild_0114,real
wild_0146,real
wild_0191,real
wild_0075,real
wild_0181,real
wild_0056,real
wild_0122,real
wild_0140,real
wild_0010,fake
wild_0162,fake
wild_0138,fake
wild_0045,fake
wild_0183,fake
wild_0173,fake
wild_0047,fake
wild_0053,fake
wild_0110,fake
wild_0135,fake
wild_0174,fake
wild_0163,fake
wild_0153,fake
wild_0161,fake
wild_0132,fake
wild_0159,fake
wild_0041,fake
wild_0051,fake
wild_0029,fake
wild_0099,fake
wild_0055,fake
wild_0002,fake
wild_0178,fake
wild_0049,fake
wild_0117,fake
wild_0016,fake
wild_0164,fake
wild_0131,fake
wild_0020,fake
wild_0100,fake
wild_0172,fake
wild_0165,fake
wild_0027,fake
wild_0179,fake
wild_0107,fake
wild_0157,fake
wild_0054,fake
wild_0022,fake
wild_0169,fake
wild_0003,fake
