feature_set,protocol,method,AUC,EER,F1,n
FULL,within,POOL_MEAN,0.984,6.18,0.937,1085
FULL,within,POOL_RICH,0.981,6.27,0.93,1085
FULL,within,MIL_mean,0.996,3.59,0.96,1085
FULL,within,MIL_max,0.99,4.52,0.84,1085
FULL,within,MIL_top2,0.993,4.43,0.88,1085
FULL,within,MIL_top3,0.994,4.06,0.914,1085
FULL,loso,POOL_MEAN,0.885,22.03,0.643,1085
FULL,loso,POOL_RICH,0.881,23.23,0.652,1085
FULL,loso,MIL_mean,0.906,20.0,0.684,1085
FULL,loso,MIL_max,0.856,24.24,0.76,1085
FULL,loso,MIL_top2,0.873,23.5,0.766,1085
FULL,loso,MIL_top3,0.883,23.41,0.762,1085
CLEAN,within,POOL_MEAN,0.735,33.37,0.681,1085
CLEAN,within,POOL_RICH,0.767,30.97,0.686,1085
CLEAN,within,MIL_mean,0.792,29.12,0.733,1085
CLEAN,within,MIL_max,0.732,32.44,0.696,1085
CLEAN,within,MIL_top2,0.754,30.88,0.713,1085
CLEAN,within,MIL_top3,0.768,29.86,0.72,1085
CLEAN,loso,POOL_MEAN,0.68,37.97,0.619,1085
CLEAN,loso,POOL_RICH,0.713,35.02,0.624,1085
CLEAN,loso,MIL_mean,0.715,35.67,0.623,1085
CLEAN,loso,MIL_max,0.67,36.31,0.687,1085
CLEAN,loso,MIL_top2,0.695,35.76,0.699,1085
CLEAN,loso,MIL_top3,0.703,35.02,0.701,1085
HNR,within,POOL_MEAN,0.693,35.76,0.646,1085
HNR,within,POOL_RICH,0.741,32.17,0.662,1085
HNR,within,MIL_mean,0.741,32.16,0.686,1085
HNR,within,MIL_max,0.652,38.15,0.69,1085
HNR,within,MIL_top2,0.692,35.95,0.698,1085
HNR,within,MIL_top3,0.715,34.75,0.703,1085
HNR,loso,POOL_MEAN,0.652,37.98,0.589,1085
HNR,loso,POOL_RICH,0.7,34.19,0.599,1085
HNR,loso,MIL_mean,0.669,37.7,0.586,1085
HNR,loso,MIL_max,0.616,41.57,0.683,1085
HNR,loso,MIL_top2,0.641,40.27,0.684,1085
HNR,loso,MIL_top3,0.651,40.09,0.679,1085
