feature_set,protocol,method,AUC,EER,F1,n
FULL,within,POOL_MEAN,0.962,8.85,0.834,1085
FULL,within,POOL_RICH,0.947,12.08,0.797,1085
FULL,within,MIL_mean,0.981,7.1,0.863,1085
FULL,within,MIL_max,0.961,10.97,0.883,1085
FULL,within,MIL_top2,0.969,9.49,0.902,1085
FULL,within,MIL_top3,0.975,7.93,0.917,1085
FULL,loso,POOL_MEAN,0.856,25.71,0.629,1085
FULL,loso,POOL_RICH,0.861,24.16,0.637,1085
FULL,loso,MIL_mean,0.88,21.94,0.656,1085
FULL,loso,MIL_max,0.84,25.44,0.74,1085
FULL,loso,MIL_top2,0.852,24.98,0.748,1085
FULL,loso,MIL_top3,0.862,24.15,0.752,1085
CLEAN,within,POOL_MEAN,0.578,46.18,0.483,1085
CLEAN,within,POOL_RICH,0.616,42.76,0.523,1085
CLEAN,within,MIL_mean,0.595,45.25,0.485,1085
CLEAN,within,MIL_max,0.548,47.56,0.679,1085
CLEAN,within,MIL_top2,0.553,48.57,0.68,1085
CLEAN,within,MIL_top3,0.561,47.56,0.66,1085
CLEAN,loso,POOL_MEAN,0.636,39.18,0.591,1085
CLEAN,loso,POOL_RICH,0.681,36.68,0.612,1085
CLEAN,loso,MIL_mean,0.66,38.53,0.601,1085
CLEAN,loso,MIL_max,0.605,42.39,0.681,1085
CLEAN,loso,MIL_top2,0.618,42.11,0.684,1085
CLEAN,loso,MIL_top3,0.629,40.28,0.69,1085
HNR,within,POOL_MEAN,0.598,43.31,0.521,1085
HNR,within,POOL_RICH,0.644,40.92,0.545,1085
HNR,within,MIL_mean,0.628,42.12,0.553,1085
HNR,within,MIL_max,0.581,45.62,0.682,1085
HNR,within,MIL_top2,0.589,44.7,0.686,1085
HNR,within,MIL_top3,0.595,44.52,0.682,1085
HNR,loso,POOL_MEAN,0.603,43.23,0.527,1085
HNR,loso,POOL_RICH,0.661,38.72,0.582,1085
HNR,loso,MIL_mean,0.624,41.38,0.57,1085
HNR,loso,MIL_max,0.58,45.89,0.675,1085
HNR,loso,MIL_top2,0.591,43.68,0.674,1085
HNR,loso,MIL_top3,0.598,43.87,0.674,1085
